"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Australian Magpie","Gymnorhina tibicen","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Rainbow Lorikeet","Trichoglossus moluccanus","Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Magpie-lark","Grallina cyanoleuca","Sedentary","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Noisy Miner","Manorina melanocephala","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",8,"LC","not listed","not listed","1"
"Welcome Swallow","Hirundo neoxena","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","understory",7,"LC","not listed","not listed","1;3"
"Australian Raven","Corvus coronoides","Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",5,"LC","not listed","not listed","1"
"Superb Fairywren","Malurus cyaneus","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Willie-wagtail","Rhipidura leucophrys","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","1"
"Laughing Kookaburra","Dacelo novaeguineae","Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","1"
"Pied Currawong","Strepera graculina","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Generalist","ground",3,"LC","VU","VU","1"
"Sulphur-crested Cockatoo","Cacatua galerita","Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Gray Fantail","Rhipidura albiscapa","Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,6,"LC",NA,NA,"1;3"
"Masked Lapwing","Vanellus miles","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","1;3"
"Pacific Black Duck","Anas superciliosa","Partial migrant","local dispersal;nomadic","Herbivore aquatic","Herbivore","Aquatic","around-water",3,"LC","not listed","not listed","1"
"Galah","Eolophus roseicapilla","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Gray Butcherbird","Cracticus torquatus","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","ground",2,"LC","not listed","not listed","1"
"Crested Pigeon","Ocyphaps lophotes","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Australian Ibis","Threskiornis molucca","Sedentary",NA,"Aquatic predator","Carnivore","Terrestrial","around-water",4,"LC",NA,NA,NA
"Red Wattlebird","Anthochaera carunculata","Partial migrant","local dispersal;partial migrant;nomadic","Nectarivore","Herbivore","Insessorial","mid-high",3,"LC","not listed","not listed","1"
"Lewin's Honeyeater","Meliphaga lewinii","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","mid-high",5,"LC","not listed","not listed","1"
"Maned Duck","Chenonetta jubata","Sedentary","local dispersal;nomadic","Herbivore terrestrial","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Common Myna","Acridotheres tristis","Partial migrant","local dispersal","Omnivore","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","1"
"White-faced Heron","Egretta novaehollandiae","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","1;3"
"Eastern Yellow Robin","Eopsaltria australis","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Little Pied Cormorant","Microcarbo melanoleucos","Sedentary","total migrant","Aquatic predator","Carnivore","Aquatic","below-water",4,"LC","not listed","not listed","1;3"
"Eastern Whipbird","Psophodes olivaceus","Sedentary","local dispersal","Invertivore","Carnivore","Generalist","ground",2,"LC","not listed","not listed","1"
"Crimson Rosella","Platycercus elegans","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","mid-high",4,"LC","not listed","not listed","1"
"Silver Gull","Chroicocephalus novaehollandiae","Sedentary","local dispersal;partial migrant","Omnivore","Carnivore","Generalist","around-water",4,"LC","not listed","not listed",NA
"Black-faced Cuckooshrike","Coracina novaehollandiae","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",6,"LC","not listed","not listed","1;2;3;4"
"Yellow-faced Honeyeater","Caligavis chrysops","Migratory","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","canopy",6,"LC","not listed","not listed","1"
"Brown Thornbill","Acanthiza pusilla","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",5,"LC","EN","not listed","1"
"Little Wattlebird","Anthochaera chrysoptera","Sedentary","local dispersal;partial migrant","Nectarivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Silvereye","Zosterops lateralis","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Insessorial","understory",3,"LC","not listed","VU","1"
"Eastern Rosella","Platycercus eximius","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","ground",5,"LC","not listed","not listed","1"
"Eastern Spinebill","Acanthorhynchus tenuirostris","Sedentary","local dispersal;partial migrant","Nectarivore","Omnivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Dusky Moorhen","Gallinula tenebrosa","Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Gray Shrikethrush","Colluricincla harmonica","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","mid-high",4,"LC","not listed","not listed","1"
"White-browed Scrubwren","Sericornis frontalis","Sedentary","local dispersal","Invertivore","Omnivore","Insessorial","ground",2,"LC","not listed","not listed","1"
"Little Black Cormorant","Phalacrocorax sulcirostris","Sedentary","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1;3"
"Red-browed Firetail","Neochmia temporalis","Sedentary","local dispersal;partial migrant","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Eurasian Coot","Fulica atra","Sedentary","nomadic;irruptive","Herbivore aquatic","Herbivore","Generalist","below-water",3,"LC","not listed","not listed","1;2;3"
"Golden Whistler","Pachycephala pectoralis","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",3,"LC","VU","VU","1"
"Australian Pelican","Pelecanus conspicillatus","Sedentary","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1;3"
"Australasian Swamphen","Porphyrio melanotus","Sedentary",NA,"Herbivore aquatic","Herbivore","Terrestrial",NA,2,NA,NA,NA,NA
"White-throated Treecreeper","Cormobates leucophaea","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","understory",7,"LC","not listed","not listed","1"
"Spotted Dove","Spilopelia chinensis","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Spotted Pardalote","Pardalotus punctatus","Sedentary","local dispersal;partial migrant","Invertivore","Omnivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"European Starling","Sturnus vulgaris","Partial migrant","local dispersal;nomadic","Omnivore","Omnivore","Insessorial","ground",6,"LC","not listed","not listed","1;2;3"
"Little Corella","Cacatua sanguinea","Sedentary","local dispersal;partial migrant","Granivore","Herbivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Australian King-Parrot","Alisterus scapularis","Sedentary","local dispersal;partial migrant","Frugivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Satin Bowerbird","Ptilonorhynchus violaceus","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Omnivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"Gray Teal","Anas gracilis","Sedentary","nomadic","Aquatic predator","Omnivore","Aquatic","around-water",3,"LC","not listed","not listed","1"
"Rufous Whistler","Pachycephala rufiventris","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","understory",2,"LC","not listed","not listed","1"
"Noisy Friarbird","Philemon corniculatus","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Omnivore","Insessorial","canopy",5,"LC","not listed","not listed","1"
"Chestnut Teal","Anas castanea","Partial migrant","total migrant","Aquatic predator","Omnivore","Aquatic","around-water",4,"LC","not listed","not listed","1"
"Yellow Thornbill","Acanthiza nana","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",3,"LC","not listed","not listed","1"
"Black Swan","Cygnus atratus","Partial migrant","local dispersal;nomadic","Herbivore aquatic","Herbivore","Aquatic","around-water",4,"LC","not listed","not listed","1"
"Great Cormorant","Phalacrocorax carbo","Partial migrant","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",4,"LC","not listed","not listed","1;2;3;4"
"Rock Pigeon","Columba livia","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Australasian Grebe","Tachybaptus novaehollandiae","Sedentary","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1;3"
"Pied Butcherbird","Cracticus nigrogularis","Sedentary","local dispersal","Omnivore","Carnivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Australasian Figbird","Sphecotheres vieilloti","Sedentary","local dispersal","Frugivore","Herbivore","Insessorial","canopy",2,"LC","not listed","not listed","1"
"Great Egret","Ardea alba","Partial migrant","local dispersal;partial migrant;irruptive","Aquatic predator","Carnivore","Terrestrial","around-water",4,"LC","not listed","not listed","1;2;3;4;5"
"White-plumed Honeyeater","Ptilotula penicillata","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","mid-high",7,"LC","not listed","not listed","1"
"New Holland Honeyeater","Phylidonyris novaehollandiae","Partial migrant","local dispersal","Nectarivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Olive-backed Oriole","Oriolus sagittatus","Partial migrant","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"Sacred Kingfisher","Todiramphus sanctus","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",7,"LC","not listed","not listed","1;2;3"
"Yellow-tailed Black-Cockatoo","Zanda funerea","Sedentary","local dispersal;partial migrant;nomadic","Granivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Red-rumped Parrot","Psephotus haematonotus","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",6,"LC","not listed","not listed","1"
"Australasian Darter","Anhinga novaehollandiae","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1"
"Pacific Koel","Eudynamys orientalis","Sedentary","total migrant","Frugivore","Herbivore","Insessorial","canopy",4,"LC","not listed","not listed","1;2"
"Great Crested Tern","Thalasseus bergii","Migratory","local dispersal;partial migrant","Aquatic predator","Carnivore","Aerial","pelagic",4,"LC","not listed","not listed","1;4"
"Striated Pardalote","Pardalotus striatus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",3,"LC","not listed","not listed","1;3"
"Torresian Crow","Corvus orru","Sedentary","local dispersal;nomadic","Omnivore","Omnivore","Generalist","ground",6,"LC","not listed","not listed","1"
"Brown Gerygone","Gerygone mouki","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","understory",1,"LC","not listed","not listed","1"
"Bar-shouldered Dove","Geopelia humeralis","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Pied Cormorant","Phalacrocorax varius","Sedentary","local dispersal","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1"
"Eurasian Blackbird","Turdus merula","Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",6,"LC","not listed","not listed","1;2;3"
"House Sparrow","Passer domesticus","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1;3"
"Striated Thornbill","Acanthiza lineata","Sedentary","local dispersal","Invertivore","Omnivore","Insessorial","mid-high",2,"LC","not listed","not listed","1"
"Hardhead","Aythya australis","Sedentary","nomadic;irruptive","Aquatic predator","Carnivore","Aquatic","below-water",3,"LC","not listed","not listed","1"
"Royal Spoonbill","Platalea regia","Partial migrant","local dispersal;partial migrant;nomadic","Aquatic predator","Carnivore","Terrestrial","around-water",3,"LC","not listed","not listed","1;3"
"Australian Reed Warbler","Acrocephalus australis","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Fan-tailed Cuckoo","Cacomantis flabelliformis","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","mid-high",3,"LC","not listed","not listed","1"
"Variegated Fairywren","Malurus lamberti","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","understory",6,"LC","not listed","not listed","1"
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"White-bellied Sea-Eagle","Icthyophaga leucogaster","Sedentary","local dispersal;nomadic","Aquatic predator","Carnivore","Aerial","around-water",5,"LC","not listed","not listed",NA
"Straw-necked Ibis","Threskiornis spinicollis","Sedentary","local dispersal;partial migrant","Omnivore","Carnivore","Terrestrial","ground",6,"LC","not listed","not listed","1;3;4"
"Red-whiskered Bulbul","Pycnonotus jocosus","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Scarlet Myzomela","Myzomela sanguinolenta","Partial migrant","local dispersal;partial migrant","Nectarivore","Herbivore","Insessorial","mid-high",5,"LC","not listed","not listed","1"
"Nankeen Kestrel","Falco cenchroides","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Generalist","ground",6,"LC","not listed","not listed","1;3"
"Whistling Kite","Haliastur sphenurus","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Carnivore","Aerial","ground",5,"LC","not listed","not listed","1;3"
"Blue-faced Honeyeater","Entomyzon cyanotis","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","mid-high",6,"LC","not listed","not listed","1"
"Mistletoebird","Dicaeum hirundinaceum","Partial migrant","local dispersal;partial migrant","Invertivore","Omnivore","Insessorial","mid-high",6,"LC","not listed","not listed","1"
"Australian Brushturkey","Alectura lathami","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",6,"LC","not listed","EN (population)","1"
"Dollarbird","Eurystomus orientalis","Migratory","total migrant","Invertivore","Carnivore","Aerial","understory",6,"LC","not listed","not listed","1;2"
"Eastern Cattle-Egret","Ardea coromanda","Partial migrant",NA,"Omnivore","Carnivore","Terrestrial",NA,5,NA,NA,NA,NA
"Pied Stilt","Himantopus leucocephalus","Partial migrant","local dispersal;partial migrant","Aquatic predator","Carnivore","Terrestrial","around-water",2,NA,"not listed","not listed",NA
"Bell Miner","Manorina melanophrys","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","canopy",4,"LC","not listed","not listed","1"
"Brown Cuckoo-Dove","Macropygia phasianella","Partial migrant","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","understory",1,"LC","not listed","not listed","1"
"Musk Lorikeet","Trichoglossus concinnus","Sedentary","nomadic","Omnivore","Herbivore","Insessorial","mid-high",2,"LC","not listed","not listed",NA
"Pied Oystercatcher","Haematopus longirostris","Sedentary","local dispersal;partial migrant","Aquatic predator","Carnivore","Terrestrial","ground",3,"LC","not listed","EN","1;3"
"Wonga Pigeon","Leucosarcia melanoleuca","Sedentary","local dispersal","Omnivore","Herbivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Brown Honeyeater","Lichmera indistincta","Sedentary","local dispersal;partial migrant;nomadic","Nectarivore","Herbivore","Insessorial","mid-high",8,"LC","not listed","not listed","1"
"White-cheeked Honeyeater","Phylidonyris niger","Partial migrant","local dispersal","Nectarivore","Herbivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Little Raven","Corvus mellori","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Omnivore","Generalist","ground",4,"LC","not listed","not listed","1"
"Golden-headed Cisticola","Cisticola exilis","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"White-winged Chough","Corcorax melanorhamphos","Sedentary","local dispersal","Omnivore","Omnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Black-shouldered Kite","Elanus axillaris","Partial migrant","local dispersal;nomadic;irruptive","Vertivore","Carnivore","Aerial","ground",3,"LC","not listed","not listed","1"
"Tree Martin","Petrochelidon nigricans","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","mid-high",6,"LC","not listed","not listed","1;2;3"
"Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus","Sedentary","local dispersal;nomadic","Nectarivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Channel-billed Cuckoo","Scythrops novaehollandiae","Migratory","local dispersal;partial migrant","Frugivore","Omnivore","Insessorial","mid-high",5,"LC","not listed","not listed","1;2;3"
"Black-fronted Dotterel","Thinornis melanops","Partial migrant","local dispersal;nomadic","Aquatic predator","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed",NA
"Superb Lyrebird","Menura novaehollandiae","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"Fairy Martin","Petrochelidon ariel","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","aerial",2,"LC","not listed","not listed","1;3"
"Peaceful Dove","Geopelia placida","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1"
"White-headed Pigeon","Columba leucomela","Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Pacific Heron","Ardea pacifica","Partial migrant","nomadic;irruptive","Omnivore","Carnivore","Terrestrial","around-water",2,"LC","not listed","not listed","1;3"
"Little Egret","Egretta garzetta","Partial migrant","local dispersal;partial migrant;irruptive","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","1;2;3"
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis","Sedentary","local dispersal;partial migrant","Omnivore","Omnivore","Insessorial","mid-high",7,"LC","not listed","not listed","1"
"White-breasted Woodswallow","Artamus leucorynchus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","aerial",6,"LC","not listed","not listed",NA
"White-eared Honeyeater","Nesoptilotis leucotis","Sedentary","local dispersal;partial migrant","Invertivore","Omnivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"White-naped Honeyeater","Melithreptus lunatus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",6,"LC","not listed","not listed","1"
"White-throated Gerygone","Gerygone olivacea","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"Australian Rufous Fantail","Rhipidura rufifrons","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",4,"LC","not listed","not listed","1;3"
"Weebill","Smicrornis brevirostris","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","canopy",2,"LC","not listed","not listed","1"
"Common Bronzewing","Phaps chalcoptera","Sedentary","local dispersal;partial migrant;nomadic","Granivore","Herbivore","Terrestrial","ground",6,"LC","not listed","not listed","1"
"Rainbow Bee-eater","Merops ornatus","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","understory",7,"LC","not listed","not listed","1;2;3"
"Osprey","Pandion haliaetus","Migratory","local dispersal","Aquatic predator","Carnivore","Aerial","around-water",3,"LC","not listed","VU","1;2;3;4"
"Black-faced Monarch","Monarcha melanopsis","Migratory","total migrant","Invertivore","Carnivore","Insessorial","understory",5,"LC","not listed","not listed","1;2;3"
"Australian Pipit","Anthus australis","Sedentary",NA,"Invertivore","Carnivore","Terrestrial",NA,2,NA,NA,NA,NA
"Wedge-tailed Eagle","Aquila audax","Partial migrant","local dispersal","Vertivore","Carnivore","Generalist","ground",5,"LC","EN","not listed","1"
"Dusky Woodswallow","Artamus cyanopterus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Aerial","aerial",2,"LC","not listed","not listed","1"
"Sooty Oystercatcher","Haematopus fuliginosus","Sedentary","local dispersal","Aquatic predator","Carnivore","Terrestrial","ground",1,"LC","not listed","VU","1"
"Bar-tailed Godwit","Limosa lapponica","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",5,"NT","not listed","not listed","2;3;4"
"Jacky-winter","Microeca fascinans","Migratory","local dispersal","Invertivore","Carnivore","Insessorial","ground",4,"LC","not listed","not listed","1"
"Shining Bronze-Cuckoo","Chalcites lucidus","Sedentary","partial migrant","Invertivore","Carnivore","Insessorial","mid-high",6,"LC","not listed","not listed","1;2;3;4"
"Brown Goshawk","Tachyspiza fasciata","Sedentary","local dispersal;partial migrant","Vertivore","Carnivore","Generalist","ground",4,"LC","not listed","not listed",NA
"Swamp Harrier","Circus approximans","Partial migrant","local dispersal;partial migrant","Vertivore","Carnivore","Aerial","ground",4,"LC","not listed","not listed","1;3"
"Green Catbird","Ailuroedus crassirostris","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","mid-high",1,"LC","not listed","not listed","1"
"Tawny Frogmouth","Podargus strigoides","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",5,"LC","not listed","not listed","1"
"Caspian Tern","Hydroprogne caspia","Migratory","local dispersal;partial migrant","Aquatic predator","Carnivore","Aerial","pelagic",4,"LC","not listed","not listed","1;2;3;4"
"Double-barred Finch","Stizoptera bichenovii","Sedentary","local dispersal;partial migrant","Granivore","Herbivore","Terrestrial","ground",5,"LC","not listed","not listed",NA
"Striped Honeyeater","Plectorhyncha lanceolata","Sedentary","local dispersal;nomadic;irruptive","Omnivore","Herbivore","Insessorial","understory",4,"LC","not listed","not listed","1"
"Leaden Flycatcher","Myiagra rubecula","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","mid-high",6,"LC","not listed","not listed","1;2"
"Little Grassbird","Poodytes gramineus","Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Generalist","ground",3,"LC","not listed","not listed","1"
"Long-billed Corella","Cacatua tenuirostris","Sedentary","local dispersal","Granivore","Herbivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Australasian Gannet","Morus serrator","Partial migrant","total migrant","Aquatic predator","Carnivore","Aerial","pelagic",2,"LC","not listed","not listed","2;3"
"Hoary-headed Grebe","Poliocephalus poliocephalus","Sedentary","nomadic","Aquatic predator","Carnivore","Aquatic","below-water",4,"LC","not listed","not listed","1;3"
"Large-billed Scrubwren","Sericornis magnirostra","Partial migrant","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",1,"LC","not listed","not listed","1"
"Restless Flycatcher","Myiagra inquieta","Partial migrant","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","ground",1,"LC","not listed","not listed","1;3"
"Spangled Drongo","Dicrurus bracteatus","Sedentary","local dispersal;partial migrant","Invertivore","Carnivore","Insessorial","canopy",4,"LC","not listed","not listed","1"
"Brown Treecreeper","Climacteris picumnus","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",6,"LC","not listed","VU","1"
"Far Eastern Curlew","Numenius madagascariensis","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",3,"EN","not listed","not listed","2;3;4"
"Apostlebird","Struthidea cinerea","Sedentary","local dispersal","Omnivore","Omnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Topknot Pigeon","Lopholaimus antarcticus","Sedentary","local dispersal;partial migrant","Frugivore","Herbivore","Insessorial","canopy",3,"LC","not listed","not listed","1"
"Plumed Egret","Ardea plumifera","Partial migrant",NA,"Aquatic predator","Carnivore","Terrestrial",NA,4,"LC",NA,NA,"1;3"
"Little Friarbird","Philemon citreogularis","Partial migrant","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","canopy",5,"LC","not listed","not listed","1"
"Australasian Shoveler","Spatula rhynchotis","Sedentary","nomadic","Aquatic predator","Carnivore","Aquatic","below-water",2,"LC","not listed","not listed","1"
"Tawny Grassbird","Cincloramphus timoriensis","Sedentary","local dispersal","Invertivore","Carnivore","Generalist","ground",3,"LC","not listed","not listed","1"
"Buff-rumped Thornbill","Acanthiza reguloides","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","ground",3,"LC","not listed","not listed","1"
"Rufous Songlark","Cincloramphus mathewsi","Migratory","local dispersal;partial migrant","Invertivore","Carnivore","Terrestrial","ground",2,"LC","not listed","not listed","1;3"
"Brown Quail","Synoicus ypsilophorus","Sedentary","local dispersal;nomadic;irruptive","Granivore","Herbivore","Terrestrial","ground",5,"LC","not listed","not listed","1"
"Brown-headed Honeyeater","Melithreptus brevirostris","Sedentary","local dispersal;partial migrant;nomadic","Omnivore","Omnivore","Insessorial","canopy",5,"LC","not listed","not listed","1"
"Pink-eared Duck","Malacorhynchus membranaceus","Partial migrant","nomadic;irruptive","Omnivore","Omnivore","Aquatic","around-water",2,"LC","not listed","not listed","1;5"
"Yellow-throated Scrubwren","Neosericornis citreogularis","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",1,"LC","not listed","not listed","1"
"Azure Kingfisher","Ceyx azureus","Sedentary","local dispersal;partial migrant","Aquatic predator","Carnivore","Insessorial","below-water",5,"LC","EN","not listed","1"
"Little Heron","Butorides atricapilla","Sedentary",NA,"Aquatic predator","Carnivore","Terrestrial",NA,NA,NA,NA,NA,NA
"Yellow-throated Miner","Manorina flavigula","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","1"
"European Goldfinch","Carduelis carduelis","Sedentary","local dispersal;partial migrant;nomadic","Granivore","Herbivore","Insessorial","understory",9,"LC","not listed","not listed","1;2;3"
"Black Kite","Milvus migrans","Migratory","local dispersal;partial migrant;irruptive","Omnivore","Omnivore","Aerial","ground",8,"LC","not listed","not listed","1;2;3;4"
"Rose Robin","Petroica rosea","Migratory","total migrant","Invertivore","Carnivore","Insessorial","mid-high",2,"LC","not listed","not listed","2;3"
"Eastern Shrike-tit","Falcunculus frontatus","Sedentary","local dispersal","Invertivore","Carnivore","Insessorial","mid-high",3,"LC","VU","not listed","1"
"Sahul Cicadabird","Edolisoma tenuirostre","Sedentary",NA,"Invertivore","Carnivore","Insessorial",NA,5,"LC",NA,NA,"1;2"
"Buff-banded Rail","Gallirallus philippensis","Sedentary","local dispersal;nomadic","Omnivore","Omnivore","Terrestrial","ground",9,"LC","not listed","not listed",NA
"Yellow-billed Spoonbill","Platalea flavipes","Partial migrant","local dispersal;partial migrant","Aquatic predator","Carnivore","Terrestrial","around-water",2,"LC","not listed","not listed","1;3"
"Mallard","Anas platyrhynchos","Partial migrant","local dispersal","Herbivore aquatic","Herbivore","Aquatic","around-water",4,"LC","not listed","not listed","1;2;3;4;5"
"Singing Honeyeater","Gavicalis virescens","Sedentary","local dispersal;nomadic","Invertivore","Omnivore","Insessorial","understory",5,"LC","not listed","not listed","1"
"Little Lorikeet","Psitteuteles pusillus","Sedentary","local dispersal;nomadic","Omnivore","Herbivore","Insessorial","mid-high",2,"LC","not listed","VU",NA
"Brown Falcon","Falco berigora","Sedentary","local dispersal;partial migrant","Vertivore","Carnivore","Generalist","ground",5,"LC","not listed","not listed","1"
