"common_name","scientific_name","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","botw_seasonal_codes"
"Chestnut-rumped Heathwren","Hylacola pyrrhopygia","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Sanderling","Calidris alba","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","ground",3,"LC","not listed","VU","2;3;4"
"White-fronted Honeyeater","Purnella albifrons","Sedentary","nomadic","Nectarivore","Herbivore","Insessorial","understory",6,"LC","not listed","not listed","1;3"
"Short-tailed Shearwater","Ardenna tenuirostris","Migratory","total migrant","Aquatic predator","Carnivore","Generalist","pelagic",4,"LC","not listed","not listed","1;2"
"Diamond Dove","Geopelia cuneata","Sedentary","local dispersal;partial migrant;nomadic","Granivore","Herbivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Plum-headed Finch","Emblema modestum","Sedentary","local dispersal;nomadic","Granivore","Herbivore","Terrestrial","ground",NA,NA,"not listed","not listed","1"
"Crimson Chat","Epthianura tricolor","Sedentary","nomadic","Invertivore","Carnivore","Generalist","ground",3,"LC","not listed","not listed","1;3"
"Painted Buttonquail","Turnix varius","Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Terrestrial","ground",4,"LC","VU","not listed","1"
"Beach Thick-knee","Esacus magnirostris","Partial migrant",NA,"Invertivore","Carnivore","Terrestrial","ground",1,"NT",NA,NA,"1"
"Spotted Harrier","Circus assimilis","Partial migrant","local dispersal","Vertivore","Carnivore","Aerial","ground",7,"LC","not listed","VU","1"
"Gray Currawong","Strepera versicolor","Sedentary","local dispersal;partial migrant","Omnivore","Carnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"White-backed Swallow","Cheramoeca leucosterna","Sedentary","local dispersal","Invertivore","Carnivore","Aerial","aerial",4,"LC","not listed","not listed","1"
"Pink Cockatoo","Cacatua leadbeateri","Sedentary","local dispersal","Granivore","Herbivore","Insessorial","canopy",2,"LC","not listed","VU","1"
"Paradise Riflebird","Ptiloris paradiseus","Sedentary","local dispersal","Frugivore","Omnivore","Insessorial","mid-high",1,"LC","not listed","not listed",NA
"Graylag Goose","Anser anser","Migratory",NA,"Herbivore terrestrial","Herbivore","Terrestrial","ground",4,"LC","not listed","not listed","1;2;3"
"Chirruping Wedgebill","Psophodes cristatus","Sedentary","local dispersal","Omnivore","Omnivore","Terrestrial","ground",3,"LC","not listed","not listed","1"
"Spotted Quail-thrush","Cinclosoma punctatum","Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",2,"LC","CR","not listed","1"
"Banded Lapwing","Vanellus tricolor","Sedentary","nomadic","Omnivore","Omnivore","Terrestrial","ground",2,"LC","not listed","not listed","1"
"Crescent Honeyeater","Phylidonyris pyrrhopterus","Sedentary","local dispersal;partial migrant","Omnivore","Herbivore","Insessorial","understory",3,"LC","not listed","not listed","1"
"Singing Bushlark","Mirafra javanica","Sedentary","local dispersal;nomadic","Omnivore","Omnivore","Terrestrial","ground",2,"LC","VU","not listed","1;3"
"Red-backed Kingfisher","Todiramphus pyrrhopygius","Sedentary","local dispersal;partial migrant;nomadic","Invertivore","Carnivore","Insessorial","ground",7,"LC","not listed","not listed","1"
"Wandering Tattler","Tringa incana","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","2;3;4"
"Eastern Barn Owl","Tyto javanica","Sedentary",NA,"Vertivore","Carnivore","Insessorial",NA,9,NA,"not listed","not listed",NA
"Black-chinned Honeyeater","Melithreptus gularis","Sedentary","local dispersal","Omnivore","Omnivore","Insessorial","canopy",4,"LC","not listed","VU","1"
"Chestnut-crowned Babbler","Pomatostomus ruficeps","Partial migrant","local dispersal","Invertivore","Carnivore","Generalist","ground",2,"LC","not listed","not listed","1"
"White-throated Nightjar","Eurostopodus mystacalis","Sedentary","local dispersal","Invertivore","Carnivore","Aerial","aerial",8,"LC","not listed","not listed","1;2;3"
"Black-tailed Godwit","Limosa limosa","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",4,"NT","not listed","VU","1;2;3;4"
"Pale-headed Rosella","Platycercus adscitus","Sedentary","local dispersal","Omnivore","Herbivore","Insessorial","understory",6,"LC","not listed","not listed","1"
"Common Greenshank","Tringa nebularia","Migratory","total migrant","Aquatic predator","Carnivore","Terrestrial","around-water",5,"LC","not listed","not listed","2;3;4"
