"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","n_wlab_subspecies","n_nsw_subspecies","risk_listed","match_type","wlab_review","wlab_review_reason"
"Australian Magpie","Gymnorhina tibicen","u705f;u705g;u705h","Gymnorhina tibicen terraereginae;Gymnorhina tibicen tibicen;Gymnorhina tibicen tyrannica",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Rainbow Lorikeet","Trichoglossus moluccanus","u254a","Trichoglossus moluccanus moluccanus",1,1,TRUE,"binomial",FALSE,NA
"Magpie-lark","Grallina cyanoleuca","u415a","Grallina cyanoleuca cyanoleuca",1,1,TRUE,"binomial",FALSE,NA
"Noisy Miner","Manorina melanocephala","u634b","Manorina melanocephala melanocephala",1,1,TRUE,"binomial",FALSE,NA
"Welcome Swallow","Hirundo neoxena","u357b","Hirundo neoxena neoxena",1,1,TRUE,"binomial",FALSE,NA
"Australian Raven","Corvus coronoides","u930a","Corvus coronoides coronoides",1,1,TRUE,"binomial",FALSE,NA
"Superb Fairywren","Malurus cyaneus","u529c","Malurus cyaneus cyanochlamys",1,1,TRUE,"binomial",FALSE,NA
"Willie-wagtail","Rhipidura leucophrys","u364a","Rhipidura leucophrys leucophrys",1,1,TRUE,"binomial",FALSE,NA
"Laughing Kookaburra","Dacelo novaeguineae","u322b","Dacelo novaeguineae novaeguineae",1,1,TRUE,"binomial",FALSE,NA
"Pied Currawong","Strepera graculina","u694c;u694e","Strepera graculina graculina;Strepera graculina ashbyi",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Sulphur-crested Cockatoo","Cacatua galerita","u269b","Cacatua galerita galerita",1,1,TRUE,"binomial",FALSE,NA
"Gray Fantail","Rhipidura albiscapa","u361b;u361c","Rhipidura albiscapa albiscapa;Rhipidura albiscapa alisteri",2,1,TRUE,"binomial",FALSE,NA
"Masked Lapwing","Vanellus miles","u133b","Vanellus miles novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Pacific Black Duck","Anas superciliosa","u208","Anas superciliosa",1,1,TRUE,"binomial",FALSE,NA
"Galah","Eolophus roseicapilla","u273a","Eolophus roseicapilla albiceps",1,1,TRUE,"binomial",FALSE,NA
"Gray Butcherbird","Cracticus torquatus","u702b;u702c","Cracticus torquatus torquatus;Cracticus torquatus leucopterus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Crested Pigeon","Ocyphaps lophotes","u43a","Ocyphaps lophotes lophotes",1,1,TRUE,"binomial",FALSE,NA
"Australian Ibis","Threskiornis molucca",NA,NA,0,0,FALSE,"none",FALSE,NA
"Red Wattlebird","Anthochaera carunculata","u638a;u638c","Anthochaera carunculata carunculata;Anthochaera carunculata woodwardi",2,1,TRUE,"binomial",FALSE,NA
"Lewin's Honeyeater","Meliphaga lewinii","u605b","Meliphaga lewinii lewinii",1,1,TRUE,"binomial",FALSE,NA
"Maned Duck","Chenonetta jubata","u202","Chenonetta jubata",1,1,TRUE,"binomial",FALSE,NA
"Common Myna","Acridotheres tristis",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-faced Heron","Egretta novaehollandiae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Eastern Yellow Robin","Eopsaltria australis","u392a;u392b","Eopsaltria australis australis;Eopsaltria australis chrysorrhos",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Pied Cormorant","Microcarbo melanoleucos","u100","Microcarbo melanoleucos melanoleucos",1,1,TRUE,"binomial",FALSE,NA
"Eastern Whipbird","Psophodes olivaceus","u421b","Psophodes olivaceus olivaceus",1,1,TRUE,"binomial",FALSE,NA
"Crimson Rosella","Platycercus elegans","u282a;u282c","Platycercus elegans elegans;Platycercus elegans flaveolus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Silver Gull","Chroicocephalus novaehollandiae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Black-faced Cuckooshrike","Coracina novaehollandiae","u424a","Coracina novaehollandiae melanops",1,1,TRUE,"binomial",FALSE,NA
"Yellow-faced Honeyeater","Caligavis chrysops","u614b","Caligavis chrysops chrysops",1,1,TRUE,"binomial",FALSE,NA
"Brown Thornbill","Acanthiza pusilla","u475b;u475d","Acanthiza pusilla dawsonensis;Acanthiza pusilla pusilla",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Wattlebird","Anthochaera chrysoptera","u710a","Anthochaera chrysoptera chrysoptera",1,1,TRUE,"binomial",FALSE,NA
"Silvereye","Zosterops lateralis","u574c;u574f;u574i","Zosterops lateralis cornwalli;Zosterops lateralis pinarochrous;Zosterops lateralis westernensis",3,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Eastern Rosella","Platycercus eximius","u288b;u288c","Platycercus eximius elecica;Platycercus eximius eximius",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Eastern Spinebill","Acanthorhynchus tenuirostris","u591d","Acanthorhynchus tenuirostris tenuirostris",1,1,TRUE,"binomial",FALSE,NA
"Dusky Moorhen","Gallinula tenebrosa","u56","Gallinula tenebrosa tenebrosa",1,1,TRUE,"binomial",FALSE,NA
"Gray Shrikethrush","Colluricincla harmonica","u408b","Colluricincla harmonica harmonica",1,1,TRUE,"binomial",FALSE,NA
"White-browed Scrubwren","Sericornis frontalis","u488d;u488f;u488j","Sericornis frontalis frontalis;Sericornis frontalis laevigaster;Sericornis frontalis tweedi",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Black Cormorant","Phalacrocorax sulcirostris","u97","Phalacrocorax sulcirostris",1,1,TRUE,"binomial",FALSE,NA
"Red-browed Firetail","Neochmia temporalis","u662b","Neochmia temporalis temporalis",1,1,TRUE,"binomial",FALSE,NA
"Eurasian Coot","Fulica atra","u59","Fulica atra australis",1,1,TRUE,"binomial",FALSE,NA
"Golden Whistler","Pachycephala pectoralis","u398d;u398g","Pachycephala pectoralis pectoralis;Pachycephala pectoralis youngi",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Australian Pelican","Pelecanus conspicillatus","u106","Pelecanus conspicillatus",1,1,TRUE,"binomial",FALSE,NA
"Australasian Swamphen","Porphyrio melanotus",NA,NA,0,0,FALSE,"none",FALSE,NA
"White-throated Treecreeper","Cormobates leucophaea","u558c;u558d","Cormobates leucophaea leucophaea;Cormobates leucophaea metastasis",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Spotted Dove","Spilopelia chinensis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Spotted Pardalote","Pardalotus punctatus","u565b;u565c","Pardalotus punctatus punctatus;Pardalotus punctatus xanthopyge",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"European Starling","Sturnus vulgaris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Little Corella","Cacatua sanguinea","u271a","Cacatua sanguinea gymnopis",1,1,TRUE,"binomial",FALSE,NA
"Australian King-Parrot","Alisterus scapularis","u281b","Alisterus scapularis scapularis",1,1,TRUE,"binomial",FALSE,NA
"Satin Bowerbird","Ptilonorhynchus violaceus","u679b","Ptilonorhynchus violaceus violaceus",1,1,TRUE,"binomial",FALSE,NA
"Gray Teal","Anas gracilis","u211","Anas gracilis",1,1,TRUE,"binomial",FALSE,NA
"Rufous Whistler","Pachycephala rufiventris","u401d","Pachycephala rufiventris rufiventris",1,1,TRUE,"binomial",FALSE,NA
"Noisy Friarbird","Philemon corniculatus","u645b","Philemon corniculatus monachus",1,1,TRUE,"binomial",FALSE,NA
"Chestnut Teal","Anas castanea","u210","Anas castanea",1,1,TRUE,"binomial",FALSE,NA
"Yellow Thornbill","Acanthiza nana","u471b;u471c","Acanthiza nana modesta;Acanthiza nana nana",2,1,TRUE,"binomial",FALSE,NA
"Black Swan","Cygnus atratus","u203","Cygnus atratus",1,1,TRUE,"binomial",FALSE,NA
"Great Cormorant","Phalacrocorax carbo","u96","Phalacrocorax carbo novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Rock Pigeon","Columba livia",NA,NA,0,0,FALSE,"none",FALSE,NA
"Australasian Grebe","Tachybaptus novaehollandiae","u61","Tachybaptus novaehollandiae novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Pied Butcherbird","Cracticus nigrogularis","u700a","Cracticus nigrogularis nigrogularis",1,1,TRUE,"binomial",FALSE,NA
"Australasian Figbird","Sphecotheres vieilloti","u432c","Sphecotheres vieilloti vieilloti",1,1,TRUE,"binomial",FALSE,NA
"Great Egret","Ardea alba","u187","Ardea alba modesta",1,1,TRUE,"binomial",FALSE,NA
"White-plumed Honeyeater","Ptilotula penicillata","u625c;u625d","Ptilotula penicillata leilavalensis;Ptilotula penicillata penicillata",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"New Holland Honeyeater","Phylidonyris novaehollandiae","u631f","Phylidonyris novaehollandiae novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Olive-backed Oriole","Oriolus sagittatus","u671c","Oriolus sagittatus sagittatus",1,1,TRUE,"binomial",FALSE,NA
"Sacred Kingfisher","Todiramphus sanctus","u326b","Todiramphus sanctus sanctus",1,1,TRUE,"binomial",FALSE,NA
"Yellow-tailed Black-Cockatoo","Zanda funerea","u267a","Zanda funerea funerea",1,1,TRUE,"binomial",FALSE,NA
"Red-rumped Parrot","Psephotus haematonotus","u295a;u295b","Psephotus haematonotus caeruleus;Psephotus haematonotus haematonotus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Australasian Darter","Anhinga novaehollandiae","u101","Anhinga novaehollandiae novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Pacific Koel","Eudynamys orientalis","u347a","Eudynamys orientalis cyanocephalus",1,1,TRUE,"binomial",FALSE,NA
"Great Crested Tern","Thalasseus bergii","u115","Thalasseus bergii cristatus",1,1,TRUE,"binomial",FALSE,NA
"Striated Pardalote","Pardalotus striatus","u976a;u976c;u976e","Pardalotus striatus melanocephalus;Pardalotus striatus ornatus;Pardalotus striatus substriatus",3,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Torresian Crow","Corvus orru","u692a","Corvus orru cecilae",1,1,TRUE,"binomial",FALSE,NA
"Brown Gerygone","Gerygone mouki","u454c","Gerygone mouki richmondi",1,1,TRUE,"binomial",FALSE,NA
"Bar-shouldered Dove","Geopelia humeralis","u32b","Geopelia humeralis humeralis",1,1,TRUE,"binomial",FALSE,NA
"Pied Cormorant","Phalacrocorax varius","u99","Phalacrocorax varius hypoleucos",1,1,TRUE,"binomial",FALSE,NA
"Eurasian Blackbird","Turdus merula",NA,NA,0,0,FALSE,"none",FALSE,NA
"House Sparrow","Passer domesticus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Striated Thornbill","Acanthiza lineata","u470a;u470c","Acanthiza lineata alberti;Acanthiza lineata lineata",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Hardhead","Aythya australis","u215","Aythya australis",1,1,TRUE,"binomial",FALSE,NA
"Royal Spoonbill","Platalea regia","u181","Platalea regia",1,1,TRUE,"binomial",FALSE,NA
"Australian Reed Warbler","Acrocephalus australis","u524a","Acrocephalus australis australis",1,1,TRUE,"binomial",FALSE,NA
"Fan-tailed Cuckoo","Cacomantis flabelliformis","u338","Cacomantis flabelliformis flabelliformis",1,1,TRUE,"binomial",FALSE,NA
"Variegated Fairywren","Malurus lamberti",NA,NA,0,0,FALSE,"none",FALSE,NA
"Yellow-rumped Thornbill","Acanthiza chrysorrhoa","u486c;u486d","Acanthiza chrysorrhoa leighi;Acanthiza chrysorrhoa normantoni",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"White-bellied Sea-Eagle","Icthyophaga leucogaster","u226","Haliaeetus leucogaster",1,1,TRUE,"common",FALSE,NA
"Straw-necked Ibis","Threskiornis spinicollis","u180","Threskiornis spinicollis",1,1,TRUE,"binomial",FALSE,NA
"Red-whiskered Bulbul","Pycnonotus jocosus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Scarlet Myzomela","Myzomela sanguinolenta","u586","Myzomela sanguinolenta",1,1,TRUE,"binomial",FALSE,NA
"Nankeen Kestrel","Falco cenchroides","u240","Falco cenchroides cenchroides",1,1,TRUE,"binomial",FALSE,NA
"Whistling Kite","Haliastur sphenurus","u228","Haliastur sphenurus",1,1,TRUE,"binomial",FALSE,NA
"Blue-faced Honeyeater","Entomyzon cyanotis","u641a","Entomyzon cyanotis cyanotis",1,1,TRUE,"binomial",FALSE,NA
"Mistletoebird","Dicaeum hirundinaceum","u564","Dicaeum hirundinaceum",1,1,TRUE,"binomial",FALSE,NA
"Australian Brushturkey","Alectura lathami","u8a","Alectura lathami lathami",1,1,TRUE,"binomial",FALSE,NA
"Dollarbird","Eurystomus orientalis","u318","Eurystomus orientalis pacificus",1,1,TRUE,"binomial",FALSE,NA
"Eastern Cattle-Egret","Ardea coromanda",NA,NA,0,0,FALSE,"none",FALSE,NA
"Pied Stilt","Himantopus leucocephalus","u146","Himantopus leucocephalus",1,1,TRUE,"binomial",FALSE,NA
"Bell Miner","Manorina melanophrys","u633","Manorina melanophrys",1,1,TRUE,"binomial",FALSE,NA
"Brown Cuckoo-Dove","Macropygia phasianella","u29a","Macropygia phasianella phasianella",1,1,TRUE,"binomial",FALSE,NA
"Musk Lorikeet","Trichoglossus concinnus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Pied Oystercatcher","Haematopus longirostris","u130","Haematopus longirostris",1,1,TRUE,"binomial",FALSE,NA
"Wonga Pigeon","Leucosarcia melanoleuca","u44","Leucosarcia melanoleuca",1,1,TRUE,"binomial",FALSE,NA
"Brown Honeyeater","Lichmera indistincta","u597c","Lichmera indistincta ocularis",1,1,TRUE,"binomial",FALSE,NA
"White-cheeked Honeyeater","Phylidonyris niger","u632b","Phylidonyris niger niger",1,1,TRUE,"binomial",FALSE,NA
"Little Raven","Corvus mellori","u954","Corvus mellori",1,1,TRUE,"binomial",FALSE,NA
"Golden-headed Cisticola","Cisticola exilis","u525c","Cisticola exilis exilis",1,1,TRUE,"binomial",FALSE,NA
"White-winged Chough","Corcorax melanorhamphos","u693a","Corcorax melanorhamphos melanorhamphos",1,1,TRUE,"binomial",FALSE,NA
"Black-shouldered Kite","Elanus axillaris","u232","Elanus axillaris",1,1,TRUE,"binomial",FALSE,NA
"Tree Martin","Petrochelidon nigricans",NA,NA,0,0,FALSE,"none",FALSE,NA
"Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus","u256","Trichoglossus chlorolepidotus",1,1,TRUE,"binomial",FALSE,NA
"Channel-billed Cuckoo","Scythrops novaehollandiae","u348","Scythrops novaehollandiae novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Black-fronted Dotterel","Thinornis melanops","u144","Elseyornis melanops",1,1,TRUE,"common",FALSE,NA
"Superb Lyrebird","Menura novaehollandiae","u350a;u350b;u350c","Menura novaehollandiae edwardi;Menura novaehollandiae novaehollandiae;Menura novaehollandiae victoriae",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Fairy Martin","Petrochelidon ariel","u360","Petrochelidon ariel",1,1,TRUE,"binomial",FALSE,NA
"Peaceful Dove","Geopelia placida","u30c","Geopelia placida placida",1,1,TRUE,"binomial",FALSE,NA
"White-headed Pigeon","Columba leucomela","u28","Columba leucomela",1,1,TRUE,"binomial",FALSE,NA
"Pacific Heron","Ardea pacifica","u189","Ardea pacifica",1,1,TRUE,"binomial",FALSE,NA
"Little Egret","Egretta garzetta","u185b","Egretta garzetta immaculata",1,1,TRUE,"binomial",FALSE,NA
"Spiny-cheeked Honeyeater","Acanthagenys rufogularis","u640","Acanthagenys rufogularis",1,1,TRUE,"binomial",FALSE,NA
"White-breasted Woodswallow","Artamus leucorynchus","u543","Artamus leucorynchus leucopygialis",1,1,TRUE,"binomial",FALSE,NA
"White-eared Honeyeater","Nesoptilotis leucotis","u617b;u617e","Nesoptilotis leucotis leucotis;Nesoptilotis leucotis depauperata",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"White-naped Honeyeater","Melithreptus lunatus","u578","Melithreptus lunatus",1,1,TRUE,"binomial",FALSE,NA
"White-throated Gerygone","Gerygone olivacea","u453b","Gerygone olivacea olivacea",1,1,TRUE,"binomial",FALSE,NA
"Australian Rufous Fantail","Rhipidura rufifrons","u362a;u362b","Rhipidura rufifrons intermedia;Rhipidura rufifrons rufifrons",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Weebill","Smicrornis brevirostris","u465a;u465b;u465c","Smicrornis brevirostris brevirostris;Smicrornis brevirostris flavescens;Smicrornis brevirostris occidentalis",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Common Bronzewing","Phaps chalcoptera","u34","Phaps chalcoptera",1,1,TRUE,"binomial",FALSE,NA
"Rainbow Bee-eater","Merops ornatus","u329","Merops ornatus",1,1,TRUE,"binomial",FALSE,NA
"Osprey","Pandion haliaetus","u241a","Pandion haliaetus cristatus",1,1,TRUE,"binomial",FALSE,NA
"Black-faced Monarch","Monarcha melanopsis","u373","Monarcha melanopsis",1,1,TRUE,"binomial",FALSE,NA
"Australian Pipit","Anthus australis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Wedge-tailed Eagle","Aquila audax","u224a","Aquila audax audax",1,1,TRUE,"binomial",FALSE,NA
"Dusky Woodswallow","Artamus cyanopterus","u547a","Artamus cyanopterus cyanopterus",1,1,TRUE,"binomial",FALSE,NA
"Sooty Oystercatcher","Haematopus fuliginosus","u131a","Haematopus fuliginosus fuliginosus",1,1,TRUE,"binomial",FALSE,NA
"Bar-tailed Godwit","Limosa lapponica","u153a;u153b;u153c","Limosa lapponica baueri;Limosa lapponica menzbieri;Limosa lapponica anadyrensis",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Jacky-winter","Microeca fascinans","u377a;u377b;u377c","Microeca fascinans assimilis;Microeca fascinans fascinans;Microeca fascinans pallida",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Shining Bronze-Cuckoo","Chalcites lucidus","u344a;u344b","Chalcites lucidus lucidus;Chalcites lucidus plagosus",2,1,TRUE,"binomial",FALSE,NA
"Brown Goshawk","Tachyspiza fasciata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Swamp Harrier","Circus approximans","u219","Circus approximans gouldi",1,1,TRUE,"binomial",FALSE,NA
"Green Catbird","Ailuroedus crassirostris","u676","Ailuroedus crassirostris",1,1,TRUE,"binomial",FALSE,NA
"Tawny Frogmouth","Podargus strigoides","u313a;u313c","Podargus strigoides brachypterus;Podargus strigoides strigoides",2,1,TRUE,"binomial",FALSE,NA
"Caspian Tern","Hydroprogne caspia","u112","Hydroprogne caspia",1,1,TRUE,"binomial",FALSE,NA
"Double-barred Finch","Stizoptera bichenovii",NA,NA,0,0,FALSE,"none",FALSE,NA
"Striped Honeyeater","Plectorhyncha lanceolata","u585","Plectorhyncha lanceolata",1,1,TRUE,"binomial",FALSE,NA
"Leaden Flycatcher","Myiagra rubecula","u365c;u365d","Myiagra rubecula rubecula;Myiagra rubecula yorki",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Grassbird","Poodytes gramineus","u522a","Poodytes gramineus goulburni",1,1,TRUE,"binomial",FALSE,NA
"Long-billed Corella","Cacatua tenuirostris","u272","Cacatua tenuirostris",1,1,TRUE,"binomial",FALSE,NA
"Australasian Gannet","Morus serrator","u104","Morus serrator",1,1,TRUE,"binomial",FALSE,NA
"Hoary-headed Grebe","Poliocephalus poliocephalus","u62","Poliocephalus poliocephalus",1,1,TRUE,"binomial",FALSE,NA
"Large-billed Scrubwren","Sericornis magnirostra","u494c","Sericornis magnirostra magnirostra",1,1,TRUE,"binomial",FALSE,NA
"Restless Flycatcher","Myiagra inquieta","u728","Myiagra inquieta",1,1,TRUE,"binomial",FALSE,NA
"Spangled Drongo","Dicrurus bracteatus","u673c","Dicrurus bracteatus bracteatus",1,1,TRUE,"binomial",FALSE,NA
"Brown Treecreeper","Climacteris picumnus","u555c;u555b","Climacteris picumnus victoriae;Climacteris picumnus picumnus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Far Eastern Curlew","Numenius madagascariensis","u149","Numenius madagascariensis",1,1,TRUE,"binomial",FALSE,NA
"Apostlebird","Struthidea cinerea","u675a","Struthidea cinerea cinerea",1,1,TRUE,"binomial",FALSE,NA
"Topknot Pigeon","Lopholaimus antarcticus","u27","Lopholaimus antarcticus",1,1,TRUE,"binomial",FALSE,NA
"Plumed Egret","Ardea plumifera","u186","Ardea plumifera",1,1,TRUE,"binomial",FALSE,NA
"Little Friarbird","Philemon citreogularis","u646a","Philemon citreogularis citreogularis",1,1,TRUE,"binomial",FALSE,NA
"Australasian Shoveler","Spatula rhynchotis","u212","Spatula rhynchotis",1,1,TRUE,"binomial",FALSE,NA
"Tawny Grassbird","Cincloramphus timoriensis","u523","Cincloramphus timoriensis alisteri",1,1,TRUE,"binomial",FALSE,NA
"Buff-rumped Thornbill","Acanthiza reguloides","u484a;u484b;u484c","Acanthiza reguloides australis;Acanthiza reguloides nesa;Acanthiza reguloides reguloides",3,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Rufous Songlark","Cincloramphus mathewsi","u509","Cincloramphus mathewsi",1,1,TRUE,"binomial",FALSE,NA
"Brown Quail","Synoicus ypsilophorus","u11a","Synoicus ypsilophorus australis",1,1,TRUE,"binomial",FALSE,NA
"Brown-headed Honeyeater","Melithreptus brevirostris","u583a;u583d","Melithreptus brevirostris brevirostris;Melithreptus brevirostris pallidiceps",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Pink-eared Duck","Malacorhynchus membranaceus","u213","Malacorhynchus membranaceus",1,1,TRUE,"binomial",FALSE,NA
"Yellow-throated Scrubwren","Neosericornis citreogularis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Azure Kingfisher","Ceyx azureus","u319a","Ceyx azureus azureus",1,1,TRUE,"binomial",FALSE,NA
"Little Heron","Butorides atricapilla",NA,NA,0,0,FALSE,"none",FALSE,NA
"Yellow-throated Miner","Manorina flavigula","u635a;u635e","Manorina flavigula flavigula;Manorina flavigula wayensis",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"European Goldfinch","Carduelis carduelis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Black Kite","Milvus migrans","u229","Milvus migrans affinis",1,1,TRUE,"binomial",FALSE,NA
"Rose Robin","Petroica rosea","u384","Petroica rosea",1,1,TRUE,"binomial",FALSE,NA
"Eastern Shrike-tit","Falcunculus frontatus","u416","Falcunculus frontatus",1,1,TRUE,"binomial",FALSE,NA
"Sahul Cicadabird","Edolisoma tenuirostre","u429b","Edolisoma tenuirostre tenuirostre",1,1,TRUE,"binomial",FALSE,NA
"Buff-banded Rail","Gallirallus philippensis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Yellow-billed Spoonbill","Platalea flavipes","u182","Platalea flavipes",1,1,TRUE,"binomial",FALSE,NA
"Mallard","Anas platyrhynchos",NA,NA,0,0,FALSE,"none",FALSE,NA
"Singing Honeyeater","Gavicalis virescens","u608b;u608c","Gavicalis virescens forresti;Gavicalis virescens sonorus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Lorikeet","Psitteuteles pusillus","u260","Glossopsitta pusilla",1,1,TRUE,"common",FALSE,NA
"Brown Falcon","Falco berigora",NA,NA,0,0,FALSE,"none",FALSE,NA
"Zebra Finch","Taeniopygia guttata","u653","Taeniopygia castanotis",1,1,TRUE,"common",FALSE,NA
"Red-capped Plover","Anarhynchus ruficapillus","u143","Charadrius ruficapillus",1,1,TRUE,"common",FALSE,NA
"Australian Ringneck","Barnardius zonarius","u294a","Barnardius zonarius barnardi",1,1,TRUE,"binomial",FALSE,NA
"White-winged Triller","Lalage tricolor","u430","Lalage tricolor",1,1,TRUE,"binomial",FALSE,NA
"Latham's Snipe","Gallinago hardwickii","u168","Gallinago hardwickii",1,1,TRUE,"binomial",FALSE,NA
"Red-necked Stint","Calidris ruficollis","u162","Calidris ruficollis",1,1,TRUE,"binomial",FALSE,NA
"White-throated Needletail","Hirundapus caudacutus","u334","Hirundapus caudacutus caudacutus",1,1,TRUE,"binomial",FALSE,NA
"Sharp-tailed Sandpiper","Calidris acuminata","u163","Calidris acuminata",1,1,TRUE,"binomial",FALSE,NA
"Brahminy Kite","Haliastur indus","u227","Haliastur indus girrenera",1,1,TRUE,"binomial",FALSE,NA
"Varied Sittella","Daphoenositta chrysoptera","u549a;u549b;u549d","Daphoenositta chrysoptera chrysoptera;Daphoenositta chrysoptera leucocephala;Daphoenositta chrysoptera pileata",3,3,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Little Tern","Sternula albifrons","u117a","Sternula albifrons placens",1,1,TRUE,"binomial",FALSE,NA
"Australian Hobby","Falco longipennis","u235a;u235b","Falco longipennis longipennis;Falco longipennis murchisonianus",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Fuscous Honeyeater","Ptilotula fusca","u613a","Ptilotula fusca fusca",1,1,TRUE,"binomial",FALSE,NA
"Red-capped Robin","Petroica goodenovii","u381","Petroica goodenovii",1,1,TRUE,"binomial",FALSE,NA
"Musk Duck","Biziura lobata","u217b","Biziura lobata menziesi",1,1,TRUE,"binomial",FALSE,NA
"Gray-crowned Babbler","Pomatostomus temporalis","u443b","Pomatostomus temporalis temporalis",1,1,TRUE,"binomial",FALSE,NA
"Pacific Golden-Plover","Pluvialis fulva","u137","Pluvialis fulva",1,1,TRUE,"binomial",FALSE,NA
"Pheasant Coucal","Centropus phasianinus","u349a","Centropus phasianinus phasianinus",1,1,TRUE,"binomial",FALSE,NA
"Sahul Brush Cuckoo","Cacomantis variolosus","u339","Cacomantis variolosus variolosus",1,1,TRUE,"binomial",FALSE,NA
"Horsfield's Bronze-Cuckoo","Chalcites basalis","u342","Chalcites basalis",1,1,TRUE,"binomial",FALSE,NA
"Yellow-tufted Honeyeater","Lichenostomus melanops","u619b;u619c;u619d","Lichenostomus melanops gippslandicus;Lichenostomus melanops melanops;Lichenostomus melanops meltoni",3,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Nankeen Night Heron","Nycticorax caledonicus","u192","Nycticorax caledonicus australasiae",1,1,TRUE,"binomial",FALSE,NA
"Australian Owlet-nightjar","Aegotheles cristatus","u317a","Aegotheles cristatus cristatus",1,1,TRUE,"binomial",FALSE,NA
"Red-backed Fairywren","Malurus melanocephalus","u541b","Malurus melanocephalus melanocephalus",1,1,TRUE,"binomial",FALSE,NA
"Gray Goshawk","Tachyspiza novaehollandiae",NA,NA,0,0,FALSE,"none",FALSE,NA
"Peregrine Falcon","Falco peregrinus","u237a","Falco peregrinus macropus",1,1,TRUE,"binomial",FALSE,NA
"Speckled Warbler","Pyrrholaemus sagittatus","u504","Pyrrholaemus sagittatus",1,1,TRUE,"binomial",FALSE,NA
"Purple-backed Fairywren","Malurus assimilis","u536d","Malurus assimilis assimilis",1,1,TRUE,"binomial",FALSE,NA
"Varied Triller","Lalage leucomela","u431a","Lalage leucomela leucomela",1,1,TRUE,"binomial",FALSE,NA
"Australian Logrunner","Orthonyx temminckii","u434","Orthonyx temminckii",1,1,TRUE,"binomial",FALSE,NA
"Gang-gang Cockatoo","Callocephalon fimbriatum","u268","Callocephalon fimbriatum",1,1,TRUE,"binomial",FALSE,NA
"Red-kneed Dotterel","Erythrogonys cinctus","u132","Erythrogonys cinctus",1,1,TRUE,"binomial",FALSE,NA
"Great Crested Grebe","Podiceps cristatus","u60","Podiceps cristatus australis",1,1,TRUE,"binomial",FALSE,NA
