"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","n_wlab_subspecies","n_nsw_subspecies","risk_listed","match_type","wlab_review","wlab_review_reason"
"Lord Howe Rail","Gallirallus sylvestris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Sooty Owl","Tyto tenebricosa","u253","Tyto tenebricosa tenebricosa",1,1,TRUE,"binomial",FALSE,NA
"Siberian Sand-Plover","Anarhynchus mongolus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Great Knot","Calidris tenuirostris","u165","Calidris tenuirostris",1,1,TRUE,"binomial",FALSE,NA
"Wood Sandpiper","Tringa glareola","u154","Tringa glareola",1,1,TRUE,"binomial",FALSE,NA
"Red-tailed Black-Cockatoo","Calyptorhynchus banksii","u264a;u264e","Calyptorhynchus banksii banksii;Calyptorhynchus banksii samueli",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Sooty Tern","Onychoprion fuscatus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Rufous Scrub-bird","Atrichornis rufescens","u355a;u355b","Atrichornis rufescens ferrieri;Atrichornis rufescens rufescens",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Parasitic Jaeger","Stercorarius parasiticus","u128","Stercorarius parasiticus",1,1,TRUE,"binomial",FALSE,NA
"Australian Masked-Owl","Tyto novaehollandiae","u250e","Tyto novaehollandiae novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Indian Peafowl","Pavo cristatus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Gilbert's Whistler","Pachycephala inornata","u403","Pachycephala inornata",1,1,TRUE,"binomial",FALSE,NA
"Regent Honeyeater","Anthochaera phrygia","u603","Anthochaera phrygia",1,1,TRUE,"binomial",FALSE,NA
"Scaly-breasted Munia","Lonchura punctulata",NA,NA,0,0,FALSE,"none",FALSE,NA
"Olive Whistler","Pachycephala olivacea","u405d;u405e","Pachycephala olivacea macphersoniana;Pachycephala olivacea olivacea",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Redthroat","Pyrrholaemus brunneus","u497","Pyrrholaemus brunneus",1,1,TRUE,"binomial",FALSE,NA
"Bourke's Parrot","Neopsephotus bourkii","u304","Neopsephotus bourkii",1,1,TRUE,"binomial",FALSE,NA
"Chestnut Quail-thrush","Cinclosoma castanotum","u437a","Cinclosoma castanotum castanotum",1,1,TRUE,"binomial",FALSE,NA
"Australasian Bittern","Botaurus poiciloptilus","u197","Botaurus poiciloptilus",1,1,TRUE,"binomial",FALSE,NA
"Black-backed Bittern","Botaurus dubius",NA,NA,0,0,FALSE,"none",FALSE,NA
"Shy Heathwren","Hylacola cauta",NA,NA,0,0,FALSE,"none",FALSE,NA
"Brown Noddy","Anous stolidus","u122","Anous stolidus pileatus",1,1,TRUE,"binomial",FALSE,NA
"Albert's Lyrebird","Menura alberti","u351","Menura alberti",1,1,TRUE,"binomial",FALSE,NA
"Blue-breasted Quail","Synoicus chinensis","u12b","Synoicus chinensis victoriae",1,1,TRUE,"binomial",FALSE,NA
"Australian Pratincole","Glareola isabella","u173","Stiltia isabella",1,1,TRUE,"common",FALSE,NA
"Southern Scrub-Robin","Drymodes brunneopygia","u441","Drymodes brunneopygia",1,1,TRUE,"binomial",FALSE,NA
"Pale-vented Bush-hen","Amaurornis moluccana","u53","Amaurornis moluccana ruficrissa",1,1,TRUE,"binomial",FALSE,NA
"Barking Owl","Ninox connivens","u246b","Ninox connivens connivens",1,1,TRUE,"binomial",FALSE,NA
"Common Sandpiper","Actitis hypoleucos","u157","Actitis hypoleucos",1,1,TRUE,"binomial",FALSE,NA
"White-browed Treecreeper","Climacteris affinis","u561b","Climacteris affinis superciliosus",1,1,TRUE,"binomial",FALSE,NA
"Pomarine Jaeger","Stercorarius pomarinus","u945","Stercorarius pomarinus",1,1,TRUE,"binomial",FALSE,NA
"Black Bittern","Botaurus flavicollis",NA,NA,0,0,FALSE,"none",FALSE,NA
"Black-bellied Plover","Pluvialis squatarola",NA,NA,0,0,FALSE,"none",FALSE,NA
"Australian Painted-Snipe","Rostratula australis","u170","Rostratula australis",1,1,TRUE,"binomial",FALSE,NA
"White-winged Tern","Chlidonias leucopterus","u109","Chlidonias leucopterus",1,1,TRUE,"binomial",FALSE,NA
"Gray-fronted Honeyeater","Ptilotula plumula","u623a","Ptilotula plumula graingeri",1,1,TRUE,"binomial",FALSE,NA
"Terek Sandpiper","Xenus cinereus","u160","Xenus cinereus",1,1,TRUE,"binomial",FALSE,NA
"Little Buttonquail","Turnix velox","u18","Turnix velox",1,1,TRUE,"binomial",FALSE,NA
"Pectoral Sandpiper","Calidris melanotos","u978","Calidris melanotos",1,1,TRUE,"binomial",FALSE,NA
"Torresian Kingfisher","Todiramphus sordidus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Helmeted Guineafowl","Numida meleagris",NA,NA,0,0,FALSE,"none",FALSE,NA
"Blue-billed White-Tern","Gygis candida",NA,NA,0,0,FALSE,"none",FALSE,NA
"Pacific Gull","Larus pacificus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Australian Fairy Tern","Sternula nereis","u118b","Sternula nereis nereis",1,1,TRUE,"binomial",FALSE,NA
"Black Noddy","Anous minutus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Aleutian Tern","Onychoprion aleuticus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Flesh-footed Shearwater","Ardenna carneipes","u72","Ardenna carneipes",1,1,TRUE,"binomial",FALSE,NA
"Little Bronze-Cuckoo","Chalcites minutillus","u345a","Chalcites minutillus barnardi",1,1,TRUE,"binomial",FALSE,NA
"Red-tailed Tropicbird","Phaethon rubricauda","u107a","Phaethon rubricauda roseotinctus",1,1,TRUE,"binomial",FALSE,NA
"Red Junglefowl","Gallus gallus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Masked Booby","Sula dactylatra",NA,NA,0,0,FALSE,"none",FALSE,NA
"Barred Cuckooshrike","Coracina lineata","u428","Coracina lineata lineata",1,1,TRUE,"binomial",FALSE,NA
"Ground Cuckooshrike","Coracina maxima","u423","Coracina maxima",1,1,TRUE,"binomial",FALSE,NA
"Mangrove Honeyeater","Gavicalis fasciogularis","u610","Gavicalis fasciogularis",1,1,TRUE,"binomial",FALSE,NA
"Sooty Shearwater","Ardenna grisea","u70","Ardenna grisea",1,1,TRUE,"binomial",FALSE,NA
"Black-winged Petrel","Pterodroma nigripennis","u955","Pterodroma nigripennis",1,1,TRUE,"binomial",FALSE,NA
"Indian Yellow-nosed Albatross","Thalassarche carteri",NA,NA,0,0,FALSE,"none",FALSE,NA
"Regent Parrot","Polytelis anthopeplus","u278b","Polytelis anthopeplus monarchoides",1,1,TRUE,"binomial",FALSE,NA
"Spotted Nightjar","Eurostopodus argus",NA,NA,0,0,FALSE,"none",FALSE,NA
"Chestnut-breasted Quail-thrush","Cinclosoma castaneothorax",NA,NA,0,0,FALSE,"none",FALSE,NA
"Hudsonian Godwit","Limosa haemastica",NA,NA,0,0,FALSE,"none",FALSE,NA
"Superb Fruit-Dove","Ptilinopus superbus","u23","Ptilinopus superbus",1,1,TRUE,"binomial",FALSE,NA
"Little Penguin","Eudyptula minor","u5","Eudyptula minor novaehollandiae",1,1,TRUE,"binomial",FALSE,NA
"Hutton's Shearwater","Puffinus huttoni",NA,NA,0,0,FALSE,"none",FALSE,NA
"Little Woodswallow","Artamus minor","u548a","Artamus minor derbyi",1,1,TRUE,"binomial",FALSE,NA
"Red-browed Pardalote","Pardalotus rubricatus","u570a","Pardalotus rubricatus rubricatus",1,1,TRUE,"binomial",FALSE,NA
"Cinnamon Quail-thrush","Cinclosoma cinnamomeum","u439b;u439c","Cinclosoma cinnamomeum cinnamomeum;Cinclosoma cinnamomeum tirariense",2,2,TRUE,"binomial",TRUE,"multiple_nsw_subspecies"
"Australasian Grass-Owl","Tyto longimembris","u252","Tyto longimembris longimembris",1,1,TRUE,"binomial",FALSE,NA
