WLAB_ScientificName,WLAB_CommonName,WLAB_Taxon_ID
Charadrius bicinctus bicinctus,New Zealand Double-banded Plover,u140
Turnix varius varius,Australian Painted Button-quail,u14a
Tringa glareola,Wood Sandpiper,u154
Actitis hypoleucos,Common Sandpiper,u157
Irediparra gallinacea novaehollandiae,Australian Comb-crested Jacana,u171
Turnix pyrrhothorax,Red-chested Button-quail,u19
Psephotus haematonotus caeruleus,Lake Eyre Basin Red-rumped Parrot,u295a
Psephotus haematonotus haematonotus,South-eastern Red-rumped Parrot,u295b
Northiella haematogaster haematogaster,Yellow-vented Bluebonnet,u297a
Northiella haematogaster haematorrhoa,Red-vented Bluebonnet,u297b
Northiella haematogaster pallescens,Pallid Bluebonnet,u297d
Todiramphus pyrrhopygius,Red-backed Kingfisher,u325
Falcunculus frontatus,Eastern Shrike-tit,u416
Pomatostomus ruficeps,Chestnut-crowned Babbler,u446
Zapornia tabuensis tabuensis,Australasian Spotless Crake,u51
Tribonyx ventralis,Black-tailed Native-hen,u55
Gliciphila melanops melanops,Northern Tawny-crowned Honeyeater,u593b
Certhionyx variegatus,Pied Honeyeater,u602
Tachybaptus novaehollandiae novaehollandiae,Australian Grebe,u61
Manorina melanophrys,Bell Miner,u633
Erythrogonys cinctus,Red-kneed Dotterel,u132
Elseyornis melanops,Black-fronted Dotterel,u144
Macropygia phasianella phasianella,Southern Brown Cuckoo-Dove,u29a
Todiramphus sanctus sanctus,Australian Sacred Kingfisher,u326b
Todiramphus chloris colcloughi,South-eastern Collared Kingfisher,u327a
Chalcites osculans,Black-eared Cuckoo,u341
Cinclosoma punctatum punctatum,Eastern Spotted Quail-thrush,u436c
Hypotaenidia philippensis mellori,Australian Buff-banded Rail,u46c
Cincloramphus mathewsi,Rufous Songlark,u509
Climacteris affinis superciliosus,Eastern White-browed Treecreeper,u561b
Grantiella picta,Painted Honeyeater,u598
Ptilotula penicillata leilavalensis,Central White-plumed Honeyeater,u625c
Ptilotula penicillata penicillata,Eastern White-plumed Honeyeater,u625d
Phylidonyris niger niger,Eastern White-cheeked Honeyeater,u632b
Philemon corniculatus monachus,Southern Noisy Friarbird,u645b
Mirafra javanica horsfieldii,Eastern Horsfield's Bushlark,u648d
Mirafra javanica rufescens,Western Queensland Horsfield's Bushlark,u648f
Anthochaera chrysoptera chrysoptera,South-eastern Little Wattlebird,u710a
Zoothera lunulata lunulata,South-eastern Bassian Thrush,u779c
Pomatostomus halli,Hall's Babbler,u938
Synoicus chinensis victoriae,Eastern King Quail,u12b
Turnix velox,Little Button-quail,u18
Zapornia pusilla palustris,Torresian Baillon's Crake,u50
Dasyornis brachypterus brachypterus,Southern Eastern Bristlebird,u519a
Columba leucomela,White-headed Pigeon,u28
Dacelo novaeguineae novaeguineae,Southern Laughing Kookaburra,u322b
Chalcophaps longirostris rogersi,Eastern Brown-capped Emerald-Dove,u33a
Monarcha melanopsis,Black-faced Monarch,u373
Oreoica gutturalis gutturalis,Southern Crested Bellbird,u419a
Oreoica gutturalis pallescens,Northern Crested Bellbird,u419b
Orthonyx temminckii,Australian Logrunner,u434
Cinclosoma castanotum castanotum,Eastern Chestnut Quail-thrush,u437a
Pyrrholaemus sagittatus,Speckled Warbler,u504
Cincloramphus cruralis,Brown Songlark,u508
Climacteris erythrops,Red-browed Treecreeper,u560
Melithreptus lunatus,White-naped Honeyeater,u578
Melithreptus albogularis inopinatus,Eastern White-throated Honeyeater,u579b
Plectorhyncha lanceolata,Striped Honeyeater,u585
Purnella albifrons,White-fronted Honeyeater,u594
Meliphaga lewinii lewinii,Southern Lewin's Honeyeater,u605b
Gavicalis fasciogularis,Mangrove Honeyeater,u610
Lichenostomus cratitius occidentalis,Mainland Purple-gaped Honeyeater,u620b
Ptilotula ornata,Yellow-plumed Honeyeater,u622
Ptilotula plumula graingeri,Eastern Grey-fronted Honeyeater,u623a
Phylidonyris novaehollandiae novaehollandiae,Eastern New Holland Honeyeater,u631f
Manorina melanocephala melanocephala,Southern Noisy Miner,u634b
Anthochaera carunculata carunculata,Eastern Red Wattlebird,u638a
Anthochaera carunculata woodwardi,Western Red Wattlebird,u638c
Entomyzon cyanotis cyanotis,Eastern Blue-faced Honeyeater,u641a
Philemon citreogularis citreogularis,Eastern Little Friarbird,u646a
Dicrurus bracteatus bracteatus,Southern Spangled Drongo,u673c
