"common_name","scientific_name","wlab_taxon_id","wlab_scientificname","risk_assessed","wlab_review","wlab_review_reason","migration","garnett_movement","feeding_guild","trophic_level","primary_lifestyle","foraging_stratum","habitat_breadth","iucn_status","epbc_status","nsw_status","rez","n_checklists_rez","n_positive_rez","sufficient","seasonality_index","amplitude_link","peak_doy","peak_date","prob_seasonal","is_seasonal","window_start_doy","window_end_doy","window_start_date","window_end_date","window_wraps","mean_abund","se_abund","range_masked_in_rez","n_train_total","dev_expl","run_date"
"Australian Raven","Corvus coronoides","u930a","Corvus coronoides coronoides",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",5,"LC","not listed","not listed","new_england",3782,1136,TRUE,0.251075452513911,0.289117038208071,157,"06 Jun",0,FALSE,NA,NA,NA,NA,FALSE,0.995467505841554,0.0334641528692262,FALSE,334105,0.278510789775354,"2026-07-03"
"Australian Raven","Corvus coronoides","u930a","Corvus coronoides coronoides",TRUE,FALSE,NA,"Sedentary","local dispersal","Omnivore","Omnivore","Generalist","ground",5,"LC","not listed","not listed","south_west",1556,544,TRUE,0.251244758383665,0.289343129087719,155,"04 Jun",0,FALSE,NA,NA,NA,NA,FALSE,3.2913395580704,0.0328981014191144,FALSE,334105,0.278510789775354,"2026-07-03"
"Superb Fairywren","Malurus cyaneus","u529c","Malurus cyaneus cyanochlamys",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","statewide",324807,114757,TRUE,0.244299196410308,0.280109743584727,176,"25 Jun",0,FALSE,NA,NA,NA,NA,FALSE,1.55776691161938,0.031073707122666,FALSE,334105,0.247173074720649,"2026-07-03"
"Superb Fairywren","Malurus cyaneus","u529c","Malurus cyaneus cyanochlamys",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","central_west",3969,2278,TRUE,0.244765841000855,0.280727433448207,176,"25 Jun",0,FALSE,NA,NA,NA,NA,FALSE,3.93270998961657,0.0249363310307254,FALSE,334105,0.247173074720649,"2026-07-03"
"Superb Fairywren","Malurus cyaneus","u529c","Malurus cyaneus cyanochlamys",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","new_england",3780,2013,TRUE,0.243982103789934,0.27969023084725,176,"25 Jun",0,FALSE,NA,NA,NA,NA,FALSE,3.81076106940693,0.0307174184453504,FALSE,334105,0.247173074720649,"2026-07-03"
"Superb Fairywren","Malurus cyaneus","u529c","Malurus cyaneus cyanochlamys",TRUE,FALSE,NA,"Sedentary","local dispersal","Invertivore","Carnivore","Terrestrial","ground",5,"LC","not listed","not listed","south_west",1549,308,TRUE,0.244901287562273,0.280906793328857,173,"22 Jun",0,FALSE,NA,NA,NA,NA,FALSE,0.825872357844213,0.0373770597203938,FALSE,334105,0.247173074720649,"2026-07-03"
"Willie-wagtail","Rhipidura leucophrys","u364a","Rhipidura leucophrys leucophrys",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","statewide",324810,117211,TRUE,0.268189270620836,0.312233364876793,80,"21 Mar",0,FALSE,NA,NA,NA,NA,FALSE,1.67758088281102,0.0256609614733476,FALSE,334105,0.275359953768966,"2026-07-03"
"Willie-wagtail","Rhipidura leucophrys","u364a","Rhipidura leucophrys leucophrys",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","central_west",3967,2223,TRUE,0.411729753528251,0.530568833825436,364,"30 Dec",0.001,FALSE,NA,NA,NA,NA,FALSE,2.25037238856245,0.0197718321064333,FALSE,334105,0.275359953768966,"2026-07-03"
"Willie-wagtail","Rhipidura leucophrys","u364a","Rhipidura leucophrys leucophrys",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","new_england",3781,1781,TRUE,0.576275936798798,0.858672829945524,1,"01 Jan",0.979,TRUE,256,95,"13 Sep","05 Apr",TRUE,1.16708023245569,0.0303606846818969,FALSE,334105,0.275359953768966,"2026-07-03"
"Willie-wagtail","Rhipidura leucophrys","u364a","Rhipidura leucophrys leucophrys",TRUE,FALSE,NA,"Sedentary","local dispersal;nomadic","Invertivore","Carnivore","Insessorial","mid-high",7,"LC","not listed","not listed","south_west",1547,583,TRUE,0.267234660620012,0.310929765621864,79,"20 Mar",0,FALSE,NA,NA,NA,NA,FALSE,1.46318603784629,0.02745012365361,FALSE,334105,0.275359953768966,"2026-07-03"
